DATE,ILITOTAL
2022-10-03,1059.851851851852
2022-10-10,1172.5185185185185
2022-10-17,1399.1666666666667
2022-10-24,2026.6666666666667
2022-10-31,2577.925925925926
2022-11-07,2593.0185185185187
2022-11-14,2544.314814814815
2022-11-21,3054.0925925925926
2022-11-28,3438
2022-12-05,3096.703703703704
2022-12-12,2808.222222222222
2022-12-19,2406.259259259259
2022-12-26,2083.3888888888887
2023-01-02,1703.888888888889
2023-01-09,1253.5925925925926
2023-01-16,1069.0925925925926
2023-01-23,1078.148148148148
2023-01-30,1097.9259259259259
2023-02-06,1152.2037037037037
2023-02-13,1104.1666666666667
2023-02-20,1059.2222222222222
2023-02-27,1030.6666666666667
2023-03-06,1012.074074074074
2023-03-13,1004.3518518518518
2023-03-20,1025.3148148148148
2023-03-27,987.3518518518518
2023-04-03,895.1111111111111
2023-04-10,864.9444444444445
2023-04-17,823.7222222222222
2023-04-24,829.2592592592592
2023-05-01,843.4444444444445
2023-05-08,847.1481481481482
2023-05-15,801.1481481481482
2023-05-22,768.2777777777778
2023-05-29,770.1481481481482
2023-06-05,683.6481481481482
2023-06-12,627.0555555555555
2023-06-19,571.7962962962963
2023-06-26,527.2037037037037
2023-07-03,493.2037037037037
2023-07-10,479.35185185185185
2023-07-17,477.51851851851853
2023-07-24,488.8888888888889
2023-07-31,497.68518518518516
2023-08-07,542.4629629629629
2023-08-14,622.9444444444445
2023-08-21,758.4814814814815
2023-08-28,821.6296296296297
2023-09-04,827.2222222222222
2023-09-11,837.074074074074
2023-09-18,891.9444444444445
2023-09-25,910.6111111111111
2023-10-02,1040.0925925925926
2023-10-09,1063.6296296296296
2023-10-16,1156.4074074074074
2023-10-23,1253.9444444444443
2023-10-30,1336.9074074074074
2023-11-06,1581.7222222222222
2023-11-13,1683.611111111111
2023-11-20,1583.2407407407406
2023-11-27,1920
2023-12-04,2114.203703703704
2023-12-11,2519.277777777778
2023-12-18,3024.240740740741
2023-12-25,3088.8703703703704
2024-01-01,2666.0185185185187
2024-01-08,2193.722222222222
2024-01-15,1853.888888888889
2024-01-22,1954.888888888889
2024-01-29,1998.648148148148
2024-02-05,2092.0925925925926
2024-02-12,2007.0185185185185
2024-02-19,1992.388888888889
2024-02-26,1942
2024-03-04,1756.0185185185185
2024-03-11,1573.1851851851852
2024-03-18,1457.0925925925926
2024-03-25,1368.0925925925926
2024-04-01,1268.9259259259259
2024-04-08,1194.2962962962963
2024-04-15,1065.5740740740741
2024-04-22,1025.7962962962963
2024-04-29,990.4074074074074
2024-05-06,933.3148148148148
2024-05-13,913.4814814814815
2024-05-20,880.1666666666666
2024-05-27,828.574074074074
2024-06-03,763.2962962962963
2024-06-10,698.4814814814815
2024-06-17,662.6481481481482
2024-06-24,652.0925925925926
2024-07-01,594.574074074074
2024-07-08,648.1666666666666
2024-07-15,620.074074074074
2024-07-22,644.6111111111111
2024-07-29,648.1481481481482
2024-08-05,649.574074074074
2024-08-12,685.9629629629629
2024-08-19,774.7037037037037
2024-08-26,845.6296296296297
2024-09-02,828.2037037037037
2024-09-09,863.7407407407408
2024-09-16,898.574074074074
2024-09-23,867.4629629629629
2024-09-30,946.0566037735849
2024-10-07,982.9245283018868
2024-10-14,1015.2264150943396
2024-10-21,1134.0943396226414
2024-10-28,1157.5283018867924
2024-11-04,1251.9622641509434
2024-11-11,1312.7924528301887
2024-11-18,1438.2264150943397
2024-11-25,1398.0377358490566
2024-12-02,1655.2641509433963
2024-12-09,1903.8867924528302
2024-12-16,2501.603773584906
2024-12-23,3152.1132075471696
2024-12-30,3099.301886792453
2025-01-06,2624.245283018868
2025-01-13,2928.245283018868
2025-01-20,3302.4150943396226
