DATE,ILITOTAL
2022-10-03,1059.851851851852
2022-10-10,1172.5185185185185
2022-10-17,1399.1666666666667
2022-10-24,2026.6666666666667
2022-10-31,2577.925925925926
2022-11-07,2593.0185185185187
2022-11-14,2544.314814814815
2022-11-21,3054.0925925925926
2022-11-28,3438
2022-12-05,3096.703703703704
2022-12-12,2808.222222222222
2022-12-19,2406.259259259259
2022-12-26,2083.3888888888887
2023-01-02,1703.888888888889
2023-01-09,1253.5925925925926
2023-01-16,1069.0925925925926
2023-01-23,1078.148148148148
2023-01-30,1097.9259259259259
2023-02-06,1152.2037037037037
2023-02-13,1104.1666666666667
2023-02-20,1059.2222222222222
2023-02-27,1030.6666666666667
2023-03-06,1012.074074074074
2023-03-13,1004.3518518518518
2023-03-20,1025.3148148148148
2023-03-27,987.3518518518518
2023-04-03,895.1111111111111
2023-04-10,864.9444444444445
2023-04-17,823.7222222222222
2023-04-24,829.2592592592592
2023-05-01,843.4444444444445
2023-05-08,847.1481481481482
2023-05-15,801.1481481481482
2023-05-22,768.2777777777778
2023-05-29,770.1481481481482
2023-06-05,683.6481481481482
2023-06-12,627.0555555555555
2023-06-19,571.7962962962963
2023-06-26,527.2037037037037
2023-07-03,493.2037037037037
2023-07-10,479.35185185185185
2023-07-17,477.51851851851853
2023-07-24,488.8888888888889
2023-07-31,497.68518518518516
2023-08-07,542.4629629629629
2023-08-14,622.9444444444445
2023-08-21,758.4814814814815
2023-08-28,821.6296296296297
2023-09-04,827.2222222222222
2023-09-11,837.074074074074
2023-09-18,891.9444444444445
2023-09-25,910.6111111111111
2023-10-02,1040.0925925925926
2023-10-09,1063.6296296296296
2023-10-16,1156.4074074074074
2023-10-23,1253.9444444444443
2023-10-30,1336.9074074074074
2023-11-06,1581.7222222222222
2023-11-13,1683.611111111111
2023-11-20,1583.2407407407406
2023-11-27,1920
2023-12-04,2114.203703703704
2023-12-11,2519.277777777778
2023-12-18,3024.240740740741
2023-12-25,3088.8703703703704
